mass_A
t,x,y
1.304333333E1,-1.112209404E-1,-2.850610941E-1
1.307666667E1,-1.393699539E-1,-3.007256248E-1
1.311000000E1,-1.614061393E-1,-3.179332651E-1
1.314333333E1,-1.756861330E-1,-3.323826033E-1
1.317666667E1,-1.833918338E-1,-3.428604706E-1
1.321000000E1,-1.835916216E-1,-3.497933855E-1
1.324333333E1,-1.746051480E-1,-3.517977091E-1
1.327666667E1,-1.573223209E-1,-3.494988670E-1
1.331000000E1,-1.338778887E-1,-3.429466799E-1
1.334333333E1,-1.047717966E-1,-3.328507004E-1
1.337666667E1,-7.094287902E-2,-3.196010096E-1
1.341000000E1,-3.391525632E-2,-3.073249030E-1
1.344333333E1,1.287931044E-3,-2.921005779E-1
1.347666667E1,3.759565002E-2,-2.790220458E-1
1.351000000E1,7.226856212E-2,-2.674662234E-1
1.354333333E1,1.043242671E-1,-2.591052771E-1
1.357666667E1,1.318870359E-1,-2.532116011E-1
1.361000000E1,1.573001011E-1,-2.487338795E-1
1.364333333E1,1.761150831E-1,-2.474204257E-1
1.367666667E1,1.884458840E-1,-2.479210321E-1
1.371000000E1,1.928552666E-1,-2.497500345E-1
1.374333333E1,1.893976341E-1,-2.532992130E-1
1.377666667E1,1.779376274E-1,-2.584007998E-1
1.381000000E1,1.600307199E-1,-2.643782257E-1
1.384333333E1,1.355334569E-1,-2.719729954E-1
1.387666667E1,1.064397554E-1,-2.802469666E-1
1.391000000E1,7.340866722E-2,-2.895692329E-1
1.394333333E1,3.722892267E-2,-3.001400047E-1
1.397666667E1,-3.233188484E-4,-3.108423680E-1
1.401000000E1,-3.771329091E-2,-3.215337685E-1
1.404333333E1,-7.462881823E-2,-3.310597002E-1
1.407666667E1,-1.087594056E-1,-3.381783750E-1
1.411000000E1,-1.384077491E-1,-3.425435629E-1
1.414333333E1,-1.627344508E-1,-3.433512361E-1
1.417666667E1,-1.796013416E-1,-3.402902158E-1
1.421000000E1,-1.885447866E-1,-3.334942599E-1
1.424333333E1,-1.885870115E-1,-3.232720678E-1
1.427666667E1,-1.809654632E-1,-3.102526803E-1
1.431000000E1,-1.652846108E-1,-2.946459953E-1
1.434333333E1,-1.435719428E-1,-2.790308296E-1
1.437666667E1,-1.162619800E-1,-2.639547767E-1
1.441000000E1,-8.570637737E-2,-2.510376048E-1
1.444333333E1,-5.274255984E-2,-2.414271154E-1
1.447666667E1,-2.069478319E-2,-2.358154057E-1
1.451000000E1,1.182306681E-2,-2.353815051E-1
1.454500000E1,4.581804797E-2,-2.403410014E-1
1.457833333E1,7.835758090E-2,-2.502351377E-1
1.461166667E1,1.078944260E-1,-2.631161904E-1
1.464500000E1,1.343053502E-1,-2.779230668E-1
1.467833333E1,1.570272969E-1,-2.938110696E-1
1.471166667E1,1.714550576E-1,-3.089539075E-1
1.474500000E1,1.789740151E-1,-3.225221551E-1
1.477833333E1,1.777817859E-1,-3.326478855E-1
1.481166667E1,1.690687382E-1,-3.393538744E-1
1.484500000E1,1.522035483E-1,-3.426607380E-1
1.487833333E1,1.276129894E-1,-3.420867229E-1
1.491166667E1,9.813934667E-2,-3.372901608E-1
1.494500000E1,6.429662814E-2,-3.298934883E-1
1.497833333E1,2.753081402E-2,-3.205227671E-1
1.501166667E1,-9.780986670E-3,-3.106723486E-1
1.504500000E1,-4.680997588E-2,-2.993267217E-1
1.507833333E1,-8.259974212E-2,-2.895632238E-1
1.511166667E1,-1.153192405E-1,-2.807926222E-1
1.514500000E1,-1.441339637E-1,-2.725212779E-1
1.517833333E1,-1.679852116E-1,-2.648933840E-1
1.521166667E1,-1.857739420E-1,-2.587804995E-1
1.524500000E1,-1.962960627E-1,-2.540964331E-1
1.527833333E1,-1.991474207E-1,-2.506315997E-1
1.531166667E1,-1.943968523E-1,-2.484722476E-1
1.534500000E1,-1.819282756E-1,-2.479794727E-1
1.537833333E1,-1.631382020E-1,-2.495891534E-1
1.541166667E1,-1.382339687E-1,-2.534223993E-1
