4.403,-0.183,-0.345,0.390,0.007,-0.49,0.02
4.437,-0.175,-0.345,0.387,0.007,-0.47,0.02
4.470,-0.163,-0.345,0.382,0.007,-0.44,0.02
4.503,-0.146,-0.345,0.375,0.007,-0.40,0.02
4.537,-0.125,-0.345,0.367,0.006,-0.35,0.02
4.570,-0.101,-0.346,0.360,0.006,-0.28,0.02
4.603,-0.074,-0.347,0.355,0.006,-0.21,0.02
4.637,-0.046,-0.349,0.352,0.006,-0.13,0.02
4.670,-0.017,-0.351,0.352,0.005,-0.05,0.01
4.703,0.009,-0.355,0.355,0.005,0.03,0.01
4.737,0.042,-0.359,0.361,0.006,0.12,0.02
4.770,0.069,-0.363,0.370,0.006,0.19,0.02
4.803,0.094,-0.368,0.379,0.006,0.25,0.02
4.837,0.116,-0.371,0.389,0.006,0.30,0.02
4.870,0.135,-0.374,0.397,0.006,0.35,0.02
4.903,0.149,-0.375,0.403,0.006,0.38,0.02
4.937,0.158,-0.374,0.406,0.007,0.40,0.02
4.972,0.161,-0.372,0.405,0.007,0.41,0.02
5.005,0.159,-0.368,0.401,0.007,0.41,0.02
5.038,0.152,-0.364,0.394,0.007,0.39,0.02
5.072,0.138,-0.358,0.384,0.006,0.37,0.02
5.105,0.121,-0.351,0.372,0.006,0.33,0.02
5.138,0.100,-0.345,0.359,0.006,0.28,0.02
5.172,0.076,-0.338,0.346,0.006,0.22,0.02
5.205,0.050,-0.332,0.336,0.006,0.15,0.02
5.238,0.026,-0.329,0.330,0.005,0.08,0.02
5.272,-0.006,-0.328,0.328,0.005,-0.02,0.02
5.305,-0.033,-0.328,0.330,0.005,-0.10,0.02
5.338,-0.061,-0.330,0.336,0.006,-0.18,0.02
5.372,-0.088,-0.335,0.346,0.006,-0.26,0.02
5.405,-0.113,-0.340,0.358,0.006,-0.32,0.02
5.438,-0.135,-0.346,0.371,0.006,-0.37,0.02
5.472,-0.153,-0.352,0.384,0.007,-0.41,0.02
5.505,-0.168,-0.358,0.395,0.007,-0.44,0.02
5.538,-0.177,-0.363,0.404,0.007,-0.45,0.02
5.572,-0.181,-0.367,0.409,0.007,-0.46,0.02
5.605,-0.179,-0.371,0.412,0.007,-0.45,0.02
5.638,-0.172,-0.372,0.410,0.007,-0.43,0.02
5.672,-0.159,-0.373,0.405,0.007,-0.40,0.02
5.705,-0.141,-0.371,0.397,0.006,-0.36,0.02
