mass_A
t,x,y
1.000833333E1,4.903733155E-2,-3.334198584E-1
1.004166667E1,2.291767286E-2,-3.326331725E-1
1.007500000E1,-5.576211464E-3,-3.336720679E-1
1.010833333E1,-3.285995498E-2,-3.369996048E-1
1.014166667E1,-5.984081137E-2,-3.416773483E-1
1.017500000E1,-8.543822097E-2,-3.475719648E-1
1.020833333E1,-1.092334125E-1,-3.540202096E-1
1.024166667E1,-1.301867576E-1,-3.603938565E-1
1.027500000E1,-1.479197566E-1,-3.663677919E-1
1.030833333E1,-1.610278915E-1,-3.713981377E-1
1.034166667E1,-1.690281917E-1,-3.753172289E-1
1.037500000E1,-1.713267419E-1,-3.777937910E-1
1.040833333E1,-1.681905823E-1,-3.788571645E-1
1.044166667E1,-1.596725402E-1,-3.784250457E-1
1.047500000E1,-1.462997145E-1,-3.763075388E-1
1.050833333E1,-1.288046084E-1,-3.728506894E-1
1.054166667E1,-1.073434297E-1,-3.684737864E-1
1.057500000E1,-8.292045336E-2,-3.635278371E-1
1.060833333E1,-5.636752702E-2,-3.583861461E-1
1.064166667E1,-2.858820154E-2,-3.533295556E-1
1.067500000E1,-5.019854605E-4,-3.491154583E-1
1.070833333E1,2.848461048E-2,-3.460550029E-1
1.074166667E1,5.521275902E-2,-3.442232060E-1
1.077500000E1,8.092269015E-2,-3.432490080E-1
1.080833333E1,1.038049109E-1,-3.433990920E-1
1.084166667E1,1.238532892E-1,-3.441078711E-1
1.087500000E1,1.408511633E-1,-3.448899020E-1
1.090833333E1,1.536239840E-1,-3.457974150E-1
1.094166667E1,1.612144513E-1,-3.468839950E-1
1.097500000E1,1.633742092E-1,-3.480295085E-1
1.100833333E1,1.603262341E-1,-3.490502939E-1
1.104166667E1,1.521073038E-1,-3.497043039E-1
1.107500000E1,1.387611610E-1,-3.502627598E-1
1.110833333E1,1.212643494E-1,-3.506075328E-1
1.114166667E1,1.006053974E-1,-3.508177144E-1
1.117500000E1,7.713190220E-2,-3.512512657E-1
1.120833333E1,5.089715418E-2,-3.524559024E-1
1.124166667E1,2.418366078E-2,-3.544071836E-1
1.127500000E1,-5.123505904E-3,-3.568886953E-1
1.130833333E1,-3.311578053E-2,-3.601235310E-1
1.134166667E1,-6.063921666E-2,-3.637131880E-1
1.137500000E1,-8.702331839E-2,-3.673396054E-1
1.140833333E1,-1.108120270E-1,-3.703894628E-1
1.144166667E1,-1.316922995E-1,-3.724788249E-1
1.147500000E1,-1.488752918E-1,-3.736205114E-1
1.150833333E1,-1.615451975E-1,-3.734673351E-1
1.154166667E1,-1.689362526E-1,-3.721020055E-1
1.157500000E1,-1.708286984E-1,-3.693631368E-1
1.160833333E1,-1.671602753E-1,-3.658003900E-1
1.164166667E1,-1.583636747E-1,-3.609771062E-1
1.167500000E1,-1.446922644E-1,-3.555013465E-1
1.170833333E1,-1.270254391E-1,-3.495955642E-1
1.174166667E1,-1.058782821E-1,-3.437411176E-1
1.177500000E1,-8.184022461E-2,-3.383512672E-1
1.180833333E1,-5.590163334E-2,-3.339967374E-1
1.184166667E1,-2.862896097E-2,-3.312698409E-1
1.187500000E1,-1.167984931E-3,-3.305456899E-1
1.191000000E1,2.719955387E-2,-3.318698013E-1
1.194333333E1,5.356623052E-2,-3.348795734E-1
1.197666667E1,7.912864317E-2,-3.395365186E-1
1.201000000E1,1.022887002E-1,-3.455600107E-1
1.204333333E1,1.226080728E-1,-3.517407957E-1
1.207666667E1,1.397955226E-1,-3.575737067E-1
1.211000000E1,1.528631620E-1,-3.629521885E-1
1.214333333E1,1.605063276E-1,-3.677075161E-1
1.217666667E1,1.628218055E-1,-3.711303548E-1
1.221000000E1,1.596201286E-1,-3.737100505E-1
1.224333333E1,1.510201110E-1,-3.748771214E-1
1.227666667E1,1.372414395E-1,-3.744569515E-1
1.231000000E1,1.193572073E-1,-3.725837853E-1
1.234333333E1,9.822011144E-2,-3.695854678E-1
1.237666667E1,7.407006192E-2,-3.660062354E-1
1.241000000E1,4.709372625E-2,-3.622761386E-1
1.244333333E1,1.721830177E-2,-3.589185353E-1
1.247666667E1,-8.796896477E-3,-3.555199842E-1
1.251000000E1,-3.728818728E-2,-3.530476044E-1
1.254333333E1,-6.439620036E-2,-3.510301693E-1
1.257666667E1,-8.993842962E-2,-3.500704761E-1
1.261000000E1,-1.130579271E-1,-3.494606615E-1
1.264333333E1,-1.333541399E-1,-3.492635024E-1
1.267666667E1,-1.499027646E-1,-3.488673804E-1
1.271000000E1,-1.621736733E-1,-3.484023534E-1
1.274333333E1,-1.691582216E-1,-3.479159215E-1
1.277666667E1,-1.708733920E-1,-3.470857363E-1
1.281000000E1,-1.672966549E-1,-3.460744971E-1
1.284333333E1,-1.588643549E-1,-3.450070443E-1
1.287666667E1,-1.456229754E-1,-3.440935772E-1
1.291000000E1,-1.282615000E-1,-3.432293568E-1
1.294333333E1,-1.074634762E-1,-3.427441756E-1
1.297666667E1,-8.390810016E-2,-3.428837364E-1
1.301000000E1,-5.809040630E-2,-3.441748591E-1
1.304333333E1,-3.088795026E-2,-3.465933700E-1
1.307666667E1,-3.354282303E-3,-3.500182721E-1
1.311000000E1,2.532077814E-2,-3.547113058E-1
1.314333333E1,5.261543316E-2,-3.594926769E-1
1.317666667E1,7.895914383E-2,-3.645432363E-1
1.321000000E1,1.025505524E-1,-3.698210927E-1
1.324333333E1,1.231480485E-1,-3.741282466E-1
1.327666667E1,1.400535963E-1,-3.772673544E-1
1.331000000E1,1.526725267E-1,-3.789226957E-1
1.334333333E1,1.599446878E-1,-3.791350141E-1
1.337666667E1,1.616648269E-1,-3.776925472E-1
1.341000000E1,1.581508580E-1,-3.750124999E-1
1.344333333E1,1.491959688E-1,-3.704143294E-1
1.347666667E1,1.351146690E-1,-3.648818899E-1
1.351000000E1,1.169932211E-1,-3.584820232E-1
1.354333333E1,9.596864570E-2,-3.516633140E-1
1.357666667E1,7.195508759E-2,-3.450977798E-1
1.361000000E1,4.557415965E-2,-3.396922159E-1
1.364333333E1,1.680326651E-2,-3.357319574E-1
1.367666667E1,-8.432168044E-3,-3.331001950E-1
1.371000000E1,-3.623105801E-2,-3.324926668E-1
1.374333333E1,-6.280316724E-2,-3.336123845E-1
1.377666667E1,-8.813189282E-2,-3.365040503E-1
1.381000000E1,-1.109935775E-1,-3.405670862E-1
1.384333333E1,-1.310966642E-1,-3.451901257E-1
1.387666667E1,-1.476481068E-1,-3.501367190E-1
1.391000000E1,-1.598850644E-1,-3.546741763E-1
1.394333333E1,-1.672301997E-1,-3.588941270E-1
1.397666667E1,-1.695080266E-1,-3.625062713E-1
1.401000000E1,-1.663449725E-1,-3.653075225E-1
1.404333333E1,-1.575863125E-1,-3.672848870E-1
1.407666667E1,-1.443906513E-1,-3.681280735E-1
1.411000000E1,-1.268178199E-1,-3.677954963E-1
1.414333333E1,-1.056138391E-1,-3.669004567E-1
1.417666667E1,-8.157378763E-2,-3.654521005E-1
1.421166667E1,-5.503355398E-2,-3.638034400E-1
1.424500000E1,-2.759545150E-2,-3.620535390E-1
1.427833333E1,4.553888955E-4,-3.605853178E-1
1.431166667E1,2.929037169E-2,-3.595213865E-1
1.434500000E1,5.647555359E-2,-3.588011419E-1
1.437833333E1,8.248521854E-2,-3.583156911E-1
1.441166667E1,1.054178446E-1,-3.580628300E-1
1.444500000E1,1.254020698E-1,-3.577669839E-1
1.447833333E1,1.419823783E-1,-3.569031895E-1
1.451166667E1,1.540203347E-1,-3.555817868E-1
1.454500000E1,1.610565342E-1,-3.539216951E-1
1.457833333E1,1.626167264E-1,-3.517402309E-1
1.461166667E1,1.591598499E-1,-3.491303931E-1
1.464500000E1,1.504106022E-1,-3.464876496E-1
1.467833333E1,1.366803979E-1,-3.438569655E-1
1.471166667E1,1.189230141E-1,-3.414024529E-1
1.474500000E1,9.819066229E-2,-3.393652204E-1
1.477833333E1,7.468667757E-2,-3.382199131E-1
1.481166667E1,4.875673015E-2,-3.383536399E-1
1.484500000E1,2.199383245E-2,-3.398813455E-1
1.487833333E1,-5.491576797E-3,-3.429944434E-1
1.491166667E1,-3.263566379E-2,-3.475591115E-1
1.494500000E1,-5.948620582E-2,-3.530204406E-1
1.497833333E1,-8.502844520E-2,-3.588296999E-1
1.501166667E1,-1.083488037E-1,-3.646675190E-1
1.504500000E1,-1.289089669E-1,-3.699343729E-1
1.507833333E1,-1.457576168E-1,-3.743532860E-1
1.511166667E1,-1.579326290E-1,-3.776560238E-1
1.514500000E1,-1.651383777E-1,-3.792433807E-1
1.517833333E1,-1.668744583E-1,-3.792826507E-1
1.521166667E1,-1.632590388E-1,-3.776329944E-1
1.524500000E1,-1.543538332E-1,-3.745642677E-1
1.527833333E1,-1.408653502E-1,-3.700363478E-1
1.531166667E1,-1.232485523E-1,-3.645339486E-1
1.534500000E1,-1.021434125E-1,-3.583894129E-1
1.537833333E1,-7.825036083E-2,-3.521721847E-1
1.541166667E1,-5.235044113E-2,-3.464338844E-1
1.544500000E1,-2.609662624E-2,-3.416375444E-1
1.547833333E1,1.671460663E-3,-3.380206637E-1
1.551166667E1,2.921069914E-2,-3.361629331E-1
1.554500000E1,5.488929993E-2,-3.359968597E-1
1.557833333E1,7.980180021E-2,-3.371511115E-1
1.561166667E1,1.019607827E-1,-3.395734989E-1
1.564500000E1,1.214967715E-1,-3.427522398E-1
1.567833333E1,1.380984249E-1,-3.463568982E-1
1.571166667E1,1.507248859E-1,-3.499829730E-1
1.574500000E1,1.582053105E-1,-3.536882227E-1
1.577833333E1,1.605523921E-1,-3.569656360E-1
1.581166667E1,1.573043590E-1,-3.598388178E-1
1.584500000E1,1.488860615E-1,-3.619394685E-1
1.587833333E1,1.353849540E-1,-3.632358480E-1
1.591166667E1,1.178563055E-1,-3.637996631E-1
1.594500000E1,9.708676534E-2,-3.636005709E-1
1.597833333E1,7.357055100E-2,-3.631916726E-1
1.601166667E1,4.740613263E-2,-3.629404989E-1
1.604500000E1,1.978891721E-2,-3.631556571E-1
1.607833333E1,-7.737826801E-3,-3.630893186E-1
1.611166667E1,-3.579248869E-2,-3.633417610E-1
1.614500000E1,-6.255057336E-2,-3.639703511E-1
1.617833333E1,-8.801342073E-2,-3.647121897E-1
1.621166667E1,-1.109931439E-1,-3.651379582E-1
1.624500000E1,-1.310020893E-1,-3.651394331E-1
1.627833333E1,-1.469992204E-1,-3.643875126E-1
1.631166667E1,-1.584220894E-1,-3.628775651E-1
1.634500000E1,-1.648366200E-1,-3.606992243E-1
1.637833333E1,-1.660668424E-1,-3.576330296E-1
1.641166667E1,-1.623697929E-1,-3.541629183E-1
1.644500000E1,-1.537565150E-1,-3.501049831E-1
1.648000000E1,-1.404308457E-1,-3.458751458E-1
1.651333333E1,-1.231418462E-1,-3.417444924E-1
1.654666667E1,-1.023847114E-1,-3.382342769E-1
1.658000000E1,-7.916616374E-2,-3.356927500E-1
1.661333333E1,-5.414111607E-2,-3.342344558E-1
1.664666667E1,-2.793510868E-2,-3.346770555E-1
1.668000000E1,-1.137635125E-3,-3.367368339E-1
1.671333333E1,2.660176886E-2,-3.404653173E-1
1.674666667E1,5.240666969E-2,-3.453464594E-1
1.678000000E1,7.749152516E-2,-3.512270544E-1
1.681333333E1,1.001382161E-1,-3.576906018E-1
1.684666667E1,1.200746674E-1,-3.639774976E-1
